Country,Migrants,Single,Committed,Male,Female,Primary,Secondary,Tertiary,a,b,c,d,e,f,g,Continent,iso_a2,svi,Migrants_norm
Afghanistan,860,0,860,860,0,0,860,0,0,0,860,0,0,0,0,Asia,AF,"0,0,860,0,0,0,0",860
Albania,2441,1216,1225,917,1524,468,1074,899,0,0,730,0,1143,568,0,Europe,AL,"0,0,730,0,1143,568,0",2441
Algeria,443,99,344,157,286,61,297,85,0,0,443,0,0,0,0,Africa,DZ,"0,0,443,0,0,0,0",443
Argentina,1499,750,749,1499,0,151,486,862,0,0,323,0,0,1176,0,South America,AR,"0,0,323,0,0,1176,0",1499
Australia,11221,3407,7814,5762,5459,1066,5914,4241,0,880,1383,1832,1606,2326,3194,Oceania,AU,"0,880,1383,1832,1606,2326,3194",11221
Austria,140769,37067,103702,73887,66882,9900,84223,46646,1175,10562,39024,34475,33254,14054,8225,Europe,AT,"1175,10562,39024,34475,33254,14054,8225",80000
Bahrain,1486,988,498,1486,0,0,1113,373,0,0,0,403,1083,0,0,Asia,BH,"0,0,0,403,1083,0,0",1486
Belarus,2401,1598,803,1395,1006,69,1450,882,0,0,621,1163,0,617,0,Europe,BY,"0,0,621,1163,0,617,0",2401
Belgium,6931,2819,4112,4264,2667,718,4092,2121,0,1003,1176,1013,839,210,2690,Europe,BE,"0,1003,1176,1013,839,210,2690",6931
Bosnia And Herzegovina,41035,12731,28304,19803,21232,2701,22453,15881,0,5627,12103,8828,6248,3175,5054,Europe,BA,"0,5627,12103,8828,6248,3175,5054",41035
Brazil,5674,2434,3240,2196,3478,683,3072,1919,901,912,546,589,566,1189,971,South America,BR,"901,912,546,589,566,1189,971",5674
Bulgaria,23939,7423,16516,11324,12615,1621,10902,11416,0,2594,6045,7651,3975,2051,1623,Europe,BG,"0,2594,6045,7651,3975,2051,1623",23939
Canada,11163,2357,8806,5237,5926,1120,5238,4805,944,611,1944,2373,1501,1477,2313,North America,CA,"944,611,1944,2373,1501,1477,2313",11163
Cayman Islands,1136,0,1136,1136,0,0,0,1136,0,0,0,0,1136,0,0,Central America,KZ,"0,0,0,0,1136,0,0",1136
China,3534,0,3534,1184,2350,0,0,3534,0,0,1629,0,1905,0,0,Asia,CN,"0,0,1629,0,1905,0,0",3534
Colombia,4837,3225,1612,2687,2150,204,2988,1645,0,984,524,977,1054,1298,0,South America,CO,"0,984,524,977,1054,1298,0",4837
Croatia,15675,4098,11577,7652,8023,1214,9428,5033,0,802,3145,3931,2862,2493,2442,Europe,HR,"0,802,3145,3931,2862,2493,2442",15675
Cyprus,3151,0,3151,1748,1403,232,499,2420,0,0,759,133,0,0,2259,Europe,CY,"0,0,759,133,0,0,2259",3151
Czech Republic,8012,3781,4231,4390,3622,898,4692,2422,0,1141,712,804,1229,1038,3088,Europe,CZ,"0,1141,712,804,1229,1038,3088",8012
Denmark,4281,1944,2337,2613,1668,476,2593,1212,0,218,851,778,1001,847,586,Europe,DK,"0,218,851,778,1001,847,586",4281
Ecuador,2981,1497,1484,1356,1625,168,1527,1286,1020,1031,930,0,0,0,0,South America,EC,"1020,1031,930,0,0,0,0",2981
Egypt,1884,1884,0,1884,0,0,1127,757,0,0,246,1144,494,0,0,Africa,EG,"0,0,246,1144,494,0,0",1884
Estonia,2248,1124,1124,1124,1124,118,1793,337,0,0,0,1082,1166,0,0,Europe,EE,"0,0,0,1082,1166,0,0",2248
Ethiopia,1674,1674,0,1674,0,0,1674,0,0,0,0,1674,0,0,0,Africa,ET,"0,0,0,1674,0,0,0",1674
Fiji,1362,681,681,0,1362,71,1087,204,0,0,0,0,0,1362,0,Oceania,FJ,"0,0,0,0,0,1362,0",1362
Finland,4255,2119,2136,2118,2137,189,2433,1633,0,1074,980,1059,1142,0,0,Europe,FI,"0,1074,980,1059,1142,0,0",4255
France,32853,9005,23848,16298,16555,2371,18204,12278,0,2346,8257,8176,6546,3568,3960,Europe,FR,"0,2346,8257,8176,6546,3568,3960",32853
Georgia,887,150,737,699,188,0,0,887,0,579,308,0,0,0,0,Asia,GE,"0,579,308,0,0,0,0",887
Germany,170358,42591,127767,94473,75885,11488,97571,61299,715,8855,50232,49322,35216,12702,13316,Europe,DE,"715,8855,50232,49322,35216,12702,13316",100000
Ghana,2522,1261,1261,2017,505,0,0,2522,0,356,550,0,1616,0,0,Africa,GH,"0,356,550,0,1616,0,0",2522
Greece,3927,1635,2292,1741,2186,178,2142,1607,0,637,229,880,680,335,1166,Europe,GR,"0,637,229,880,680,335,1166",3927
Hungary,32529,8237,24292,17248,15281,1959,15498,15072,1007,4099,10006,7504,5085,2938,1890,Europe,HU,"1007,4099,10006,7504,5085,2938,1890",32529
Iceland,994,994,0,0,994,0,0,994,0,0,994,0,0,0,0,Europe,IS,"0,0,994,0,0,0,0",994
India,2604,14009,12059,21688,4380,1588,8057,16423,48,629,1160,216,75,78,398,Asia,IN,"48,629,1160,216,75,78,398",2604
Indonesia,687,421,266,592,95,453,102,132,0,0,612,75,0,0,0,Asia,ID,"0,0,612,75,0,0,0",687
Iraq,2945,576,2369,2868,77,468,2167,778,0,0,726,1764,455,0,0,Asia,IQ,"0,0,726,1764,455,0,0",2945
Ireland,4765,2379,2386,2117,2648,426,1093,3246,0,0,629,995,430,0,2711,Europe,IE,"0,0,629,995,430,0,2711",4765
Israel,2980,1649,1331,993,1987,281,780,1919,0,0,0,874,946,1160,0,Asia,IL,"0,0,0,874,946,1160,0",2980
Italy,25452,6613,18839,12789,12663,1744,14871,8837,0,1645,4775,6539,7288,3055,2150,Europe,IT,"0,1645,4775,6539,7288,3055,2150",25452
Japan,1873,0,1873,0,1873,0,1873,0,0,0,0,0,0,1873,0,Asia,JP,"0,0,0,0,0,1873,0",1873
Kazakhstan,989,495,494,989,0,52,789,148,0,0,0,989,0,0,0,Asia,KY,"0,0,0,989,0,0,0",989
Kenya,2338,1169,1169,1556,782,0,0,2338,0,719,1619,0,0,0,0,Africa,KE,"0,719,1619,0,0,0,0",2338
Kuwait,249,125,124,249,0,13,199,37,0,0,249,0,0,0,0,Asia,KW,"0,0,249,0,0,0,0",249
Lebanon,332,0,332,332,0,0,0,332,0,0,0,332,0,0,0,Asia,LB,"0,0,0,332,0,0,0",332
Luxembourg,4702,2483,2219,2089,2613,292,3516,894,0,1047,955,198,1121,1381,0,Europe,LU,"0,1047,955,198,1121,1381,0",4702
Malaysia,3636,0,3636,2315,1321,0,3636,0,1064,248,955,244,1125,0,0,Asia,MY,"1064,248,955,244,1125,0,0",3636
Mali,1276,988,288,1276,0,166,1052,58,0,0,0,1276,0,0,0,Africa,ML,"0,0,0,1276,0,0,0",1276
Malta,4423,1543,2880,2655,1768,240,2420,1763,0,1005,1141,679,1072,526,0,Europe,MT,"0,1005,1141,679,1072,526,0",4423
Mauritius,2043,0,2043,0,0,27,1863,153,0,0,0,874,0,1169,0,Africa,MU,"0,0,0,874,0,1169,0",2043
Mexico,1328,662,666,759,569,45,977,306,0,0,219,0,1109,0,0,North America,MX,"0,0,219,0,1109,0,0",1328
Moldova,1455,728,727,0,1455,0,1455,0,0,1455,0,0,0,0,0,Europe,MD,"0,1455,0,0,0,0,0",1455
Mongolia,1051,754,297,894,157,453,499,99,0,0,921,130,0,0,0,Asia,MN,"0,0,921,130,0,0,0",1051
Montenegro,25890,8376,17514,12783,13107,1879,14004,10007,420,1446,8019,6940,4841,1740,2484,Europe,ME,"420,1446,8019,6940,4841,1740,2484",25890
Morocco,2921,2921,0,1626,1295,299,1080,1542,0,249,492,1049,1131,0,0,Africa,MA,"0,249,492,1049,1131,0,0",2921
Netherlands,5532,1710,3822,2269,3263,503,3551,1478,0,982,546,876,757,1310,1061,Europe,NL,"0,982,546,876,757,1310,1061",5532
New Zealand,2480,0,2480,826,1654,90,1368,1022,0,0,952,414,1114,0,0,Oceania,NZ,"0,0,952,414,1114,0,0",2480
Nigeria,2212,1905,307,1954,258,804,651,757,0,366,825,361,660,0,0,Africa,NG,"0,366,825,361,660,0,0",2212
North Macedonia,18179,4424,13755,9340,8839,1483,9560,7136,704,913,4163,3673,3215,2266,3245,Europe,MK,"704,913,4163,3673,3215,2266,3245",18179
Norway,3521,1181,2340,1985,1536,419,1861,1241,0,0,550,1374,847,750,0,Europe,NO,"0,0,550,1374,847,750,0",3521
Pakistan,646,568,78,646,0,83,563,0,0,240,406,0,0,0,0,Asia,PK,"0,240,406,0,0,0,0",646
Paraguay,2259,1130,1129,0,2259,119,1801,339,0,0,0,1087,1172,0,0,South America,PY,"0,0,0,1087,1172,0,0",2259
Peru,994,994,0,0,994,0,497,497,0,0,994,0,0,0,0,South America,PE,"0,0,994,0,0,0,0",994
Philippines,1658,830,828,510,1148,0,662,996,0,0,578,1080,0,0,0,Asia,PH,"0,0,578,1080,0,0,0",1658
Poland,4551,1852,2699,2054,2497,478,2712,1361,0,1230,1000,1015,1306,0,0,Europe,PL,"0,1230,1000,1015,1306,0,0",4551
Qatar,2476,1234,1242,1571,905,66,1611,799,0,1020,371,0,1085,0,0,Asia,QA,"0,1020,371,0,1085,0,0",2476
Republic Of Congo,1717,0,1717,1717,0,90,1369,258,0,0,0,0,1717,0,0,Africa,CG,"0,0,0,0,1717,0,0",1717
Romania,7716,2593,5123,3782,3934,622,3665,3429,1102,984,1256,907,1187,1093,1187,Europe,RO,"1102,984,1256,907,1187,1093,1187",7716
Russia,6280,2556,3724,4605,1675,510,2807,2963,0,382,842,1517,1277,504,1758,Asia,RU,"0,382,842,1517,1277,504,1758",6280
Saudi Arabia,2314,0,2314,1157,1157,0,1443,871,0,1081,983,250,0,0,0,Asia,SA,"0,1081,983,250,0,0,0",2314
Singapore,901,0,901,901,0,0,0,901,0,0,0,901,0,0,0,Asia,SG,"0,0,0,901,0,0,0",901
Slovakia,11285,3631,7654,5913,5372,716,6820,3749,0,1090,2929,2166,1184,1290,2626,Europe,SK,"0,1090,2929,2166,1184,1290,2626",11285
Slovenia,12914,3497,9417,7357,5557,943,7890,4081,0,1020,3404,3731,1310,1276,2173,Europe,SI,"0,1020,3404,3731,1310,1276,2173",12914
South Africa,2280,1080,1200,1117,1163,99,1151,1030,0,168,602,194,1316,0,0,Africa,ZA,"0,168,602,194,1316,0,0",2280
Spain,2283,855,1428,823,1460,67,1324,892,0,0,525,922,485,351,0,Europe,ES,"0,0,525,922,485,351,0",2283
Sweden,17939,3773,14166,9027,8912,1398,10422,6119,930,853,4337,4115,3659,2016,2029,Europe,SE,"930,853,4337,4115,3659,2016,2029",17939
Switzerland,51271,10896,40375,26835,24436,3554,30243,17474,458,2673,17741,12706,9632,5746,2315,Europe,CH,"458,2673,17741,12706,9632,5746,2315",51271
Thailand,3209,1429,1780,1735,1474,181,1423,1605,0,625,830,617,1137,0,0,Asia,TH,"0,625,830,617,1137,0,0",3209
Turkey,14147,3387,10760,9233,4914,1204,6999,5944,0,1284,3914,3972,2095,1642,1240,Asia,TR,"0,1284,3914,3972,2095,1642,1240",14147
Ukraine,2793,1623,1170,1288,1505,472,1515,806,0,572,660,564,243,754,0,Europe,UA,"0,572,660,564,243,754,0",2793
United Arab Emirates,2452,904,1548,918,1534,134,1118,1200,0,0,975,801,676,0,0,Asia,AE,"0,0,975,801,676,0,0",2452
United Kingdom,11405,7851,3554,6002,5403,2511,4881,4013,0,985,2105,2877,1988,1588,1862,Europe,GB,"0,985,2105,2877,1988,1588,1862",11405
United States of America,21649,5674,15975,10098,11551,1807,8702,11140,0,386,5206,5450,3347,2890,4370,North America,US,"0,386,5206,5450,3347,2890,4370",21649
